subset_name,pair,model_a,model_b,layer,mean_cosine_similarity,mean_cosine_drift,median_cosine_drift,std_cosine_drift,sem_cosine_drift,ci_low,ci_high,n
ut_safe_game_harmful,Base–UT,base,ut,0,1.000000238418579,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,39
ut_safe_game_harmful,Base–UT,base,ut,1,1.0,-2.598151205290833e-08,0.0,1.0214107959427565e-07,1.6355662503089818e-08,-5.807632055038061e-08,4.584972675030048e-09,39
ut_safe_game_harmful,Base–UT,base,ut,2,0.9999995231628418,5.119886168358789e-07,3.5762786865234375e-07,5.188502427699859e-07,8.30825314760791e-08,3.7902440780248395e-07,6.969158466045673e-07,39
ut_safe_game_harmful,Base–UT,base,ut,3,0.9999964833259583,3.437201257838751e-06,2.3245811462402344e-06,3.3491662634332897e-06,5.362958105498548e-07,2.5477164830916968e-06,4.5926142961550986e-06,39
ut_safe_game_harmful,Base–UT,base,ut,4,0.9999942183494568,5.663969659508439e-06,3.6954879760742188e-06,3.902875960193342e-06,6.249603220360165e-07,4.519254733354617e-06,6.924837063520383e-06,39
ut_safe_game_harmful,Base–UT,base,ut,5,0.9999864101409912,1.3571519048127811e-05,9.655952453613281e-06,8.108067049761303e-06,1.298329807606137e-06,1.1210143566131591e-05,1.6240011423062054e-05,39
ut_safe_game_harmful,Base–UT,base,ut,6,0.9999831914901733,1.6907850294956006e-05,1.4662742614746094e-05,7.087181074894033e-06,1.1348572212051345e-06,1.482929174716656e-05,1.9214092156825922e-05,39
ut_safe_game_harmful,Base–UT,base,ut,7,0.9999748468399048,2.5087441827054136e-05,2.2411346435546875e-05,9.391246749146376e-06,1.5038030038688355e-06,2.227528737141536e-05,2.815177043279012e-05,39
ut_safe_game_harmful,Base–UT,base,ut,8,0.9999660849571228,3.386766547919251e-05,3.135204315185547e-05,9.737157597555779e-06,1.5591930694057845e-06,3.085075280605218e-05,3.699155954214243e-05,39
ut_safe_game_harmful,Base–UT,base,ut,9,0.9999551773071289,4.4501743104774505e-05,4.279613494873047e-05,1.0171795111091342e-05,1.6287907720226676e-06,4.134877369954036e-05,4.76989990625626e-05,39
ut_safe_game_harmful,Base–UT,base,ut,10,0.9999585151672363,4.146954961470328e-05,3.93986701965332e-05,8.578740562370513e-06,1.3736978882252051e-06,3.8831661909054485e-05,4.417166495934511e-05,39
ut_safe_game_harmful,Base–UT,base,ut,11,0.9999489188194275,5.09757264808286e-05,4.851818084716797e-05,1.4959443433326669e-05,2.3954280589302335e-06,4.6653510668338876e-05,5.588779846827189e-05,39
ut_safe_game_harmful,Base–UT,base,ut,12,0.9999426007270813,5.734425212722272e-05,5.137920379638672e-05,2.3463608158635907e-05,3.7571842560483476e-06,5.081525215735802e-05,6.532241136599809e-05,39
ut_safe_game_harmful,Base–UT,base,ut,13,0.999930739402771,6.919182487763464e-05,6.020069122314453e-05,2.7331147066433914e-05,4.376486121123386e-06,6.147206593782474e-05,7.828386166156867e-05,39
ut_safe_game_harmful,Base–UT,base,ut,14,0.9999175667762756,8.243475167546421e-05,6.92605972290039e-05,3.94889539165888e-05,6.323293286357529e-06,7.133594690225064e-05,9.582187884893172e-05,39
ut_safe_game_harmful,Base–UT,base,ut,15,0.9999133348464966,8.66330592543818e-05,6.937980651855469e-05,4.391269612824544e-05,7.031658959619741e-06,7.440012234907885e-05,0.00010126542586546678,39
ut_safe_game_harmful,Base–UT,base,ut,16,0.9998965263366699,0.00010358676081523299,8.463859558105469e-05,4.6071509132161736e-05,7.377345700347271e-06,9.033611187568078e-05,0.00011875388713983389,39
