subset_name,model,model_label,layer,mean_safe_margin,median_safe_margin,std_safe_margin,sem_safe_margin,ci_low,ci_high,n
random_pd_150,base,Base,0,0.385,1.3125,1.2589669982507738,0.10279422495725993,0.175,0.5775,150
random_pd_150,base,Base,1,0.15135416666666668,0.5,0.49424559602462537,0.04035498392926927,0.06927083333333334,0.22906510416666664,150
random_pd_150,base,Base,2,0.06895833333333333,0.1953125,0.22850368687027997,0.018657247905896332,0.03145833333333333,0.105,150
random_pd_150,base,Base,3,0.11083333333333334,0.296875,0.37750989382859723,0.03082355375774385,0.049791666666666665,0.17083593749999998,150
random_pd_150,base,Base,4,-0.11364583333333333,-0.3125,0.40987147718998235,0.0334658659745417,-0.17854427083333332,-0.04530989583333337,150
random_pd_150,base,Base,5,-0.015833333333333335,-0.0390625,0.16621916292366085,0.013571737821183772,-0.0425,0.011252604166666628,150
random_pd_150,base,Base,6,0.19385416666666666,0.5390625,0.5915162876403016,0.04829710264213676,0.0963515625,0.2877161458333332,150
random_pd_150,base,Base,7,0.1965625,0.5625,0.6071108557161169,0.04957039379363155,0.09624869791666667,0.29141015624999994,150
random_pd_150,base,Base,8,0.5059375,1.6171875,1.65419139270384,0.13506416163427587,0.23298893229166667,0.7669420572916665,150
random_pd_150,base,Base,9,0.7216145833333333,2.294921875,2.3082778520403116,0.188470097402211,0.342587890625,1.0851881510416665,150
random_pd_150,base,Base,10,0.7144765218098958,2.314453125,2.325479052707755,0.18987456955549292,0.331041493733724,1.0805619761149088,150
random_pd_150,base,Base,11,0.7690364583333333,2.53125,2.545154881698415,0.2078110258838267,0.34710677083333336,1.1679251302083329,150
random_pd_150,base,Base,12,0.5999479166666667,1.986328125,2.035152711867381,0.16616952309055064,0.26360677083333334,0.9179459635416667,150
random_pd_150,base,Base,13,0.6108854166666666,1.955078125,1.9975940577641762,0.16310287182459923,0.28108422851562503,0.9233216959635416,150
