subset_name,pair,model_a,model_b,layer,mean_cosine_similarity,mean_cosine_drift,median_cosine_drift,std_cosine_drift,sem_cosine_drift,ci_low,ci_high,n
top_ut_margin_shift,Base–UT,base,ut,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
top_ut_margin_shift,Base–UT,base,ut,1,1.0,-1.629193668861717e-08,0.0,1.0628731672568392e-07,8.678323070250324e-09,-3.2981236775716146e-08,7.947285970052084e-10,150
top_ut_margin_shift,Base–UT,base,ut,2,0.9999995827674866,4.5895575340182404e-07,4.172325134277344e-07,2.7758053988691245e-07,2.266435617497363e-08,4.1842460632324216e-07,5.062421162923178e-07,150
top_ut_margin_shift,Base–UT,base,ut,3,0.9999967217445374,3.4487247830838896e-06,2.4437904357910156e-06,2.6768211682792753e-06,2.1856153316549896e-07,3.052115440368652e-06,3.9033492406209305e-06,150
top_ut_margin_shift,Base–UT,base,ut,4,0.999994695186615,5.4113070291350596e-06,3.933906555175781e-06,3.752139036805602e-06,3.063608694717225e-07,4.858573277791341e-06,6.031612555185953e-06,150
top_ut_margin_shift,Base–UT,base,ut,5,0.999987781047821,1.2244780918990728e-05,9.208917617797852e-06,6.809113529016031e-06,5.559617915590312e-07,1.1206060647964477e-05,1.3360997041066486e-05,150
top_ut_margin_shift,Base–UT,base,ut,6,0.9999837279319763,1.6286372556351125e-05,1.3738870620727539e-05,7.715785613982007e-06,6.299912572987645e-07,1.5149494012196857e-05,1.7592638731002805e-05,150
top_ut_margin_shift,Base–UT,base,ut,7,0.9999758005142212,2.4334192858077586e-05,2.1338462829589844e-05,1.0685015695344191e-05,8.724278782407621e-07,2.2763401269912723e-05,2.60770320892334e-05,150
top_ut_margin_shift,Base–UT,base,ut,8,0.9999666213989258,3.333926360937767e-05,3.0100345611572266e-05,1.2260205949132796e-05,1.0010416238936695e-06,3.1529545783996586e-05,3.537384668986002e-05,150
top_ut_margin_shift,Base–UT,base,ut,9,0.999955415725708,4.463434379431419e-05,4.094839096069336e-05,1.544440965517424e-05,1.2610307677896928e-06,4.239238301912944e-05,4.725974798202514e-05,150
top_ut_margin_shift,Base–UT,base,ut,10,0.9999599456787109,4.0107966924551874e-05,3.7103891372680664e-05,1.2492651876527816e-05,1.0200207543905303e-06,3.82693608601888e-05,4.219772418340047e-05,150
top_ut_margin_shift,Base–UT,base,ut,11,0.9999533891677856,4.6484470658469945e-05,4.443526268005371e-05,1.3433618732960895e-05,1.0968503764949222e-06,4.4509152571360273e-05,4.873397946357727e-05,150
top_ut_margin_shift,Base–UT,base,ut,12,0.9999505877494812,4.9442449380876496e-05,4.559755325317383e-05,1.4683448171126656e-05,1.1988985227954387e-06,4.7266443570454914e-05,5.1858504613240554e-05,150
top_ut_margin_shift,Base–UT,base,ut,13,0.9999405741691589,5.936384332017042e-05,5.5789947509765625e-05,1.6180692909983918e-05,1.3211480438043368e-06,5.6865960359573365e-05,6.204406420389812e-05,150
top_ut_margin_shift,Base–UT,base,ut,14,0.9999307990074158,6.922602915437892e-05,6.344914436340332e-05,2.272768506372813e-05,1.8557077146936168e-06,6.57816231250763e-05,7.299194733301797e-05,150
top_ut_margin_shift,Base–UT,base,ut,15,0.9999271631240845,7.287899643415585e-05,6.598234176635742e-05,2.3881006200099364e-05,1.949875991149496e-06,6.924822926521301e-05,7.683807611465455e-05,150
top_ut_margin_shift,Base–UT,base,ut,16,0.9999110698699951,8.89897346496582e-05,8.082389831542969e-05,2.9554688808275387e-05,2.4131302362339783e-06,8.446889122327169e-05,9.386755029360452e-05,150
top_ut_margin_shift,Base–UT,base,ut,17,0.9998818039894104,0.00011832197196781635,0.00010797381401062012,3.814259252976626e-05,3.1143296388273578e-06,0.0001125812033812205,0.00012470752000808715,150
top_ut_margin_shift,Base–UT,base,ut,18,0.9998501539230347,0.00014992832439020276,0.00013825297355651855,4.608528615790419e-05,3.7628478579004634e-06,0.00014289326469103496,0.00015756338834762573,150
top_ut_margin_shift,Base–UT,base,ut,19,0.9998020529747009,0.00019789695215877146,0.00018158555030822754,6.356654921546578e-05,5.190187009580184e-06,0.00018799993395805358,0.00020852919419606526,150
