subset,subset_name,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32
UT-favored margin shifts,top_ut_margin_shift,0.0,0.0,-0.00041666666666670404,-0.0008333333333334081,0.0027083333333333126,0.0006250000000000006,-0.0004166666666666763,-0.0023958333333333748,-0.0032812500000000133,0.0009375000000000355,-0.0007180531819657165,-0.0001562499999998579,0.0017317708333335347,-0.0005403645833330639,-0.0003645833333332238,0.003959986368815338,-0.0007921155293784121,0.0001267496744791763,0.0053698476155599195,0.010771484374999918,0.06610211690266937,0.2232662963867189,0.22638425191243505,0.21941894531249995,0.4519680786132816,0.36182291666666666,0.36411458333333346,0.37734374999999964,0.21500000000000008,0.29541666666666677,0.31083333333333335,0.4449999999999996,0.20583333333333337
GAME-favored margin shifts,top_game_margin_shift,0.0,-0.00031249999999999334,0.00031249999999999334,0.00010416666666659968,0.0006250000000000144,-0.0023958333333332985,0.0006249999999999312,0.0007812499999999556,0.0006510416666666297,0.001054687500000151,-0.0006323242187500355,-0.0014062500000000533,-0.0028124999999999956,-0.0029492187499999822,-0.0023958333333333748,-0.00394185384114587,-0.002072881062825549,-0.0031680297851562345,-0.0012924702962238965,-0.0013216145833333803,-0.022157796223958297,-0.07759175618489583,-0.0802779134114584,-0.0808984375,-0.13860677083333334,-0.11993815104166661,-0.11375,-0.1199479166666666,-0.078125,-0.09270833333333328,-0.09916666666666674,-0.13416666666666668,0.016666666666666705
UT-safe / GAME-harmful,ut_safe_game_harmful,0.0,-0.0004006410256409687,0.00040064102564099646,0.0,0.00040064102564099646,-0.0012019230769230033,-0.0004006410256410242,-0.001402243589743668,-0.00230368589743557,-0.005108173076923128,0.0028616098257212563,-0.0007011217948718063,-0.00030048076923083755,0.0007887620192308376,-0.0001001602564103532,0.005466950245392566,0.0012520032051281937,0.0014930138221153633,0.012394733918018819,0.012319711538461509,0.0722124148637821,0.2653225629757612,0.2858573717948719,0.27243589743589747,0.7295673076923076,0.5480769230769231,0.514423076923077,0.5080128205128205,0.15705128205128208,0.31891025641025644,0.3541666666666667,0.532051282051282,0.1410256410256409
GAME-safe / UT-harmful,game_safe_ut_harmful,0.0,-0.0004006410256410242,0.0008012820512819929,-0.00240384615384609,0.002003205128205121,-0.0012019230769231004,-0.0016025641025640969,0.005408653846153799,0.0009014423076925127,-0.0001001602564103532,0.0016432542067308376,0.0032051282051279717,0.00170272435897445,-0.003555689102564319,0.004507211538461675,0.002428886217948678,0.01268558013133525,0.009502704326923128,0.002681536552233521,-0.004006410256410298,-0.058488894731570484,-0.21230844350961542,-0.2368790064102564,-0.2266626602564103,-0.6169871794871794,-0.46314102564102566,-0.43990384615384615,-0.43669871794871773,-0.1442307692307693,-0.27884615384615385,-0.28205128205128205,-0.4423076923076922,-0.11217948717948709
Random Prisoner’s Dilemma,random_pd_150,0.0,0.0,-0.0007291666666666974,-0.0019791666666666985,-0.0001041666666667107,0.0,-0.0015624999999999944,-0.001302083333333398,-0.0017187499999999911,-0.004401041666666661,-0.001654256184895897,0.001927083333333357,-0.0002083333333333659,-0.0017805989583332682,-0.0023046875000000133,-0.0005900573730468484,-0.0009846496582031072,0.0006966145833333104,0.0023451232910156883,0.006416015625000021,0.03867818196614581,0.1408614095052081,0.13897318522135427,0.13623413085937486,0.27249186197916675,0.2191666666666663,0.21479166666666716,0.23020833333333313,0.14833333333333343,0.18249999999999988,0.18208333333333337,0.2741666666666669,0.06666666666666671
Random Chicken,random_chicken_150,0.0,-0.00010416666666668295,0.0007291666666666974,-0.0014583333333334225,-0.00041666666666670404,-0.0011458333333334014,-0.0013541666666666008,0.0009895833333333215,-0.0016406249999999512,-0.0008984375000000711,0.0003761291503907582,-0.000130208333333659,-0.003190104166666652,-0.0003873697916665364,-0.0002994791666668384,-0.0019991048177081527,0.003120622634887771,0.0008683268229167096,0.0014819335937500122,0.001321614583333408,-0.02835306803385418,-0.1139088948567708,-0.11721272786458314,-0.11923543294270833,-0.22889322916666632,-0.18457855224609387,-0.18278645833333318,-0.1914583333333335,-0.11645833333333333,-0.14249999999999996,-0.1416666666666666,-0.21750000000000003,-0.04999999999999999
