subset,subset_name,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32
UT-favored margin shifts,top_ut_margin_shift,0.0,0.0,0.0,0.00010416666666659968,0.0007291666666666141,0.000833333333333304,-0.00093749999999998,-0.0016666666666666496,-0.0033593749999998312,-0.0002083333333333659,-0.0016941324869790275,-0.003619791666666705,-0.0010416666666666075,-0.0017382812499999734,-0.0038671875000000355,-0.001310424804687349,-0.002196420033772517,-0.0012527465820312278,0.002557042439778723,0.004209798177083279,-0.028247954050699797,-0.10548126220703113,-0.10740287780761704,-0.10307291666666685,-0.22802734374999978,-0.18220052083333327,-0.1795833333333332,-0.1857291666666665,-0.10479166666666662,-0.14750000000000002,-0.1504166666666666,-0.2333333333333334,-0.007500000000000007
GAME-favored margin shifts,top_game_margin_shift,0.0,0.0,-0.00020833333333340753,0.00010416666666659968,0.0022916666666667196,-0.00041666666666659996,0.00031249999999999334,0.0007291666666666696,-0.0003645833333333348,-0.0011718749999998224,-0.003384602864583197,-0.001848958333333428,-0.00033854166666669183,-0.0007714843750001865,-0.0010611979166667007,-0.0020548502604167407,-0.00647972106933592,-0.0066722615559896,-0.005355199178059905,-0.0006510416666666852,0.02655517578125,0.1056494140625,0.1103674316406249,0.1108610026041666,0.22854166666666664,0.1778678385416666,0.1808333333333333,0.1908854166666667,0.1185416666666666,0.15270833333333333,0.14833333333333343,0.21833333333333327,0.15083333333333337
UT-safe / GAME-harmful,ut_safe_game_harmful,0.0,0.0,0.00040064102564099646,-0.0016025641025640969,-0.000801282051282104,-0.0020032051282050933,-0.0032051282051281937,0.0008012820512820484,-0.00230368589743557,-0.005008012820512775,-0.0010055150741188346,-0.0020032051282050656,-0.0008012820512819374,-0.0007011217948718063,-0.0007512019230769829,0.0010829827724359031,0.002691806891025772,-0.0003192608173077094,0.004106081449068516,0.011956630608974284,-0.0448154547275641,-0.1936837465335161,-0.1986177884615384,-0.18910256410256412,-0.59375,-0.42387820512820495,-0.40705128205128205,-0.40865384615384615,-0.13141025641025633,-0.2676282051282052,-0.28846153846153844,-0.4583333333333334,-0.09294871794871798
GAME-safe / UT-harmful,game_safe_ut_harmful,0.0,-0.0004006410256410242,0.0012019230769229894,-0.0004006410256409687,0.0004006410256410242,-0.0008012820512819929,-0.002804487179487114,0.0032051282051281937,-0.002804487179487003,-0.0070112179487178405,-0.0039275731795873625,-0.0026041666666671848,-0.0014022435897433905,-0.004306891025641191,-0.0004006410256409687,0.002660506810897356,0.002297083536783928,2.8170072115418776e-05,-0.0015244117149940117,-0.0037059294871795156,0.04439055613982368,0.14344139588184845,0.1582532051282052,0.1620592948717949,0.40625000000000006,0.2860576923076923,0.2788461538461538,0.28605769230769235,0.10416666666666669,0.19871794871794868,0.22115384615384626,0.3012820512820513,0.05769230769230771
Random Prisoner’s Dilemma,random_pd_150,0.0,0.0001041666666667107,-0.0002083333333332965,-0.0011458333333333043,-0.0018750000000000017,-0.0006250000000000006,-0.002083333333333298,-0.0015624999999999944,-0.002057291666666683,-0.0028645833333332815,0.0006347656249999778,-0.00010416666666668295,-0.002057291666666683,-0.001708984375,-0.0007421874999999911,-0.001471481323242263,-0.001864725748697893,-0.0018484497070312966,-0.0013226826985676954,-0.002065429687499981,-0.026561787923177094,-0.08805257797241217,-0.08444661458333336,-0.08469767252604177,-0.1713216145833334,-0.1382552083333335,-0.1386458333333329,-0.14635416666666679,-0.11145833333333333,-0.1333333333333333,-0.13958333333333317,-0.17749999999999977,-0.03166666666666673
Random Chicken,random_chicken_150,0.0,-0.00010416666666668295,-0.0002083333333332965,-0.0003125000000000211,-0.00031249999999999334,-0.0020833333333334023,0.00010416666666668295,0.0014583333333332837,-0.0006249999999999867,-0.0016406250000000622,-0.002255961100260384,-0.00226562500000016,0.0011328124999998579,0.0011718750000000444,0.0014453125000000178,0.0008711751302084014,0.0010914580027262533,0.001334228515625091,0.0006626892089844072,0.0025065104166666907,0.026383463541666596,0.09619588216145858,0.0920133463541668,0.09429850260416672,0.18470052083333366,0.13979654947916642,0.14549479166666668,0.14947916666666639,0.09645833333333331,0.1225,0.1312500000000001,0.18333333333333335,0.04583333333333328
