subset,subset_name,n,ut_minus_base_late,game_minus_base_late,game_minus_ut_late,base_ut_late_drift,base_game_late_drift,ut_game_late_drift,late_layers
UT-favored margin shifts,top_ut_margin_shift,150,0.317324438384085,-0.1570490079937558,-0.47437344637784074,0.0002813804511043,0.0001647722357037,0.0005114593712443,21-31
GAME-favored margin shifts,top_game_margin_shift,150,-0.1031979647549715,0.1584475245620265,0.261645489316998,0.0001694386287867,0.0001787516560976,0.0003500157379841,21-31
UT-safe / GAME-harmful,ut_safe_game_harmful,39,0.4078068588719223,-0.3236882514331168,-0.7314951103050391,0.0003154714067931,0.000257815099427,0.0007836289375765,21-31
GAME-safe / UT-harmful,game_safe_ut_harmful,39,-0.3436378888039044,0.2314805406512636,0.575118429455168,0.0002396304070398,0.0001764144650554,0.000474534949965,21-31
Random Prisoner’s Dilemma,random_pd_150,150,0.1945282352331912,-0.1285135170907685,-0.3230417523239597,0.0001967818785818,0.0001445158698267,0.0003401174313197,21-31
Random Chicken,random_chicken_150,150,-0.1596544207948626,0.1305018569483902,0.2901562777432528,0.0001735143219279,0.0001540114323936,0.0003026917111128,21-31
