model,model_label,safe_rate,mean_safe_margin,median_safe_margin,n_examples
base,Base,0.7023547880690738,0.6441130298273156,0.625,3185
ut,UT,0.7014128728414443,0.6584772370486656,0.75,3185
game,GAME,0.7014128728414443,0.6311616954474097,0.625,3185
