subset_name,model,model_label,layer,mean_safe_margin,median_safe_margin,std_safe_margin,sem_safe_margin,ci_low,ci_high,n
random_chicken_150,base,Base,0,-0.63,-1.3125,1.1552722375929494,0.09432758320353668,-0.805,-0.4375,150
random_chicken_150,base,Base,1,-0.24645833333333333,-0.5,0.45250857264736016,0.03694717024070551,-0.31625,-0.170625,150
random_chicken_150,base,Base,2,-0.11645833333333333,-0.21875,0.20658899925043814,0.01686792115452633,-0.14906510416666666,-0.0820807291666667,150
random_chicken_150,base,Base,3,-0.18291666666666667,-0.328125,0.3344853685274567,0.02731061597730188,-0.23520833333333332,-0.12864583333333332,150
random_chicken_150,base,Base,4,0.18989583333333335,0.34375,0.37795837693202783,0.030860172249799346,0.12708072916666666,0.2485442708333333,150
random_chicken_150,base,Base,5,0.05,0.0625,0.15742011530087976,0.012853298591241675,0.024166666666666666,0.07521093749999996,150
random_chicken_150,base,Base,6,-0.2866666666666667,-0.5390625,0.5329220954992996,0.04351290688760172,-0.37000260416666664,-0.2,150
random_chicken_150,base,Base,7,-0.30130208333333336,-0.5625,0.5384952551396538,0.04396795346673308,-0.38578125,-0.21255078125000001,150
random_chicken_150,base,Base,8,-0.8348177083333334,-1.6875,1.529688746329369,0.12489856312615494,-1.0728652343749998,-0.5788001302083334,150
random_chicken_150,base,Base,9,-1.1765625,-2.37109375,2.1624572595774616,0.17656389588473376,-1.5129485677083334,-0.8123111979166668,150
random_chicken_150,base,Base,10,-1.2055303446451824,-2.390625,2.164844419260454,0.17675880665666294,-1.5422084846496582,-0.8419413553873698,150
random_chicken_150,base,Base,11,-1.2977083333333332,-2.60546875,2.346594182171807,0.1915986126568174,-1.664611328125,-0.9054505208333337,150
random_chicken_150,base,Base,12,-1.0515755208333333,-2.119140625,1.9167666630317066,0.15650334268016353,-1.3504567057291665,-0.7314798177083334,150
random_chicken_150,base,Base,13,-1.0514127604166668,-2.0947265625,1.8985755767971917,0.15501804670877925,-1.3480305989583334,-0.7337472330729167,150
random_chicken_150,base,Base,14,-0.9054296875,-1.8046875,1.633160462213849,0.13334699335039524,-1.1610699869791667,-0.6330074869791668,150
random_chicken_150,base,Base,15,-0.9642596435546875,-1.9072265625,1.7251738361088098,0.14085985386888125,-1.2337148030598957,-0.6772639668782554,150
random_chicken_150,base,Base,16,-0.8213730843861898,-1.63836669921875,1.5088337543767874,0.12319576016369913,-1.0559292946656544,-0.5710989552338919,150
random_chicken_150,base,Base,17,-0.3365580240885417,-0.5732421875,0.6193201072691245,0.05056727500850326,-0.43335381062825523,-0.23442521158854168,150
random_chicken_150,base,Base,18,-0.23134765625,-0.31591796875,0.5107226846732755,0.041700332583795865,-0.31134498087565105,-0.14850355529785159,150
random_chicken_150,base,Base,19,0.20289713541666668,0.3515625,0.5557284009833295,0.045375033932732095,0.11162695312500001,0.29143945312499997,150
random_chicken_150,base,Base,20,-0.38553395589192707,-0.5234375,0.7636446347549236,0.06235132333211973,-0.5057172851562499,-0.26334630330403647,150
random_chicken_150,base,Base,21,-1.4427054850260417,-1.5712890625,2.615262888587003,0.21353532067584566,-1.858073496500651,-1.0164397481282552,150
random_chicken_150,base,Base,22,-1.12311279296875,-1.26171875,2.4301644292517515,0.19842209475762337,-1.5087765909830728,-0.7297756551106773,150
random_chicken_150,base,Base,23,-1.2194156901041666,-1.35546875,2.498301286848565,0.20398544588391915,-1.6183214111328124,-0.8204715983072919,150
random_chicken_150,base,Base,24,-1.6460026041666667,-2.640625,4.63870639467831,0.3787487911182419,-2.3857360026041667,-0.8993141276041667,150
random_chicken_150,base,Base,25,-1.5801839192708333,-2.21875,3.635745404084734,0.2968573691558879,-2.1598238525390627,-0.9984570312500005,150
random_chicken_150,base,Base,26,-1.6127083333333334,-2.09375,3.5813117232539713,0.292412877727325,-2.1821536458333335,-1.0402083333333334,150
random_chicken_150,base,Base,27,-1.9493229166666666,-2.1875,3.8579727213645274,0.31500215363065714,-2.5621393229166665,-1.3296171875000002,150
random_chicken_150,base,Base,28,-0.6789583333333333,-0.71875,2.178742346730517,0.17789356768279171,-1.0343802083333333,-0.33520312500000005,150
random_chicken_150,base,Base,29,-0.60375,-0.90625,2.748033826559046,0.2243760223659197,-1.0400208333333334,-0.16416666666666666,150
random_chicken_150,base,Base,30,-0.5208333333333334,-0.75,2.923500901722345,0.23870284905954187,-0.9866666666666667,-0.05665625000000015,150
random_chicken_150,base,Base,31,-1.5591666666666666,-2.125,4.131812471651497,0.3373610756137984,-2.2258333333333336,-0.8974791666666669,150
random_chicken_150,base,Base,32,-0.36083333333333334,-0.375,0.9997416472757046,0.08162856368116654,-0.5225,-0.20166666666666666,150
random_chicken_150,game,GAME,0,-0.63,-1.3125,1.1552722375929494,0.09432758320353668,-0.805,-0.4375,150
random_chicken_150,game,GAME,1,-0.2465625,-0.5,0.4525727440578035,0.03695240981442754,-0.31635416666666666,-0.17072916666666665,150
random_chicken_150,game,GAME,2,-0.11666666666666667,-0.21875,0.2059939261799787,0.0168193336417831,-0.14916666666666667,-0.08239583333333333,150
random_chicken_150,game,GAME,3,-0.18322916666666667,-0.328125,0.3339379860497836,0.027265922385153896,-0.2352109375,-0.1290625,150
random_chicken_150,game,GAME,4,0.18958333333333333,0.34375,0.37907490761649193,0.03095133659843593,0.1266640625,0.24875,150
random_chicken_150,game,GAME,5,0.04791666666666667,0.0546875,0.15795697904412836,0.012897133332320329,0.02208072916666667,0.07344010416666663,150
random_chicken_150,game,GAME,6,-0.2865625,-0.546875,0.5307711953548088,0.04333728662621235,-0.3698958333333333,-0.19999739583333337,150
random_chicken_150,game,GAME,7,-0.29984375,-0.5625,0.5365880449260209,0.04381223040487891,-0.38380468749999996,-0.21098828125000002,150
random_chicken_150,game,GAME,8,-0.8354427083333333,-1.68359375,1.531291684691556,0.12502944249537132,-1.0732565104166667,-0.5793743489583333,150
random_chicken_150,game,GAME,9,-1.178203125,-2.365234375,2.1663175325157344,0.17687908585028853,-1.5151399739583333,-0.8129147135416667,150
random_chicken_150,game,GAME,10,-1.2077863057454428,-2.411865234375,2.1688182277038677,0.17708326675739383,-1.544580977121989,-0.8438292770385744,150
random_chicken_150,game,GAME,11,-1.2999739583333334,-2.6171875,2.3482746670743353,0.1917358236745389,-1.666486328125,-0.9082786458333334,150
random_chicken_150,game,GAME,12,-1.0504427083333334,-2.11328125,1.9151956210944243,0.15637506764313502,-1.3498756510416667,-0.7307154947916669,150
random_chicken_150,game,GAME,13,-1.0502408854166667,-2.0966796875,1.898368058657192,0.15500110292360023,-1.3465960286458334,-0.7322099609375,150
random_chicken_150,game,GAME,14,-0.903984375,-1.7998046875,1.6321401744933415,0.13326368720685955,-1.1593339843750001,-0.6320110677083334,150
random_chicken_150,game,GAME,15,-0.9633884684244791,-1.890625,1.7247038674004165,0.14082148108452663,-1.2325023040771486,-0.6767516276041667,150
random_chicken_150,game,GAME,16,-0.8202816263834636,-1.638671875,1.5122465891145245,0.1234744169531625,-1.0555819702148437,-0.5695094528198243,150
random_chicken_150,game,GAME,17,-0.33522379557291665,-0.564453125,0.6218563032536166,0.050774354543493314,-0.4328921305338541,-0.23377781168619793,150
random_chicken_150,game,GAME,18,-0.23068496704101563,-0.33544921875,0.514774896834378,0.042031194321269255,-0.3112970466613769,-0.14685782877604167,150
random_chicken_150,game,GAME,19,0.20540364583333334,0.369140625,0.5525941000024246,0.04511911932928136,0.11490787760416667,0.2925520833333333,150
random_chicken_150,game,GAME,20,-0.3591504923502604,-0.462890625,0.7647036763056873,0.06243779371264562,-0.4794946873982748,-0.23741802724202477,150
random_chicken_150,game,GAME,21,-1.3465096028645833,-1.50244140625,2.5975093020146995,0.21208574640229663,-1.7580445760091146,-0.9235137125651042,150
random_chicken_150,game,GAME,22,-1.0310994466145833,-1.171875,2.414108871910429,0.1971111639902155,-1.416519510904948,-0.6405779418945317,150
random_chicken_150,game,GAME,23,-1.1251171875,-1.109375,2.4757065855779787,0.20214059625046746,-1.5211634114583334,-0.7291809895833333,150
random_chicken_150,game,GAME,24,-1.4613020833333332,-2.359375,4.629046380776735,0.3779600542860069,-2.2016800130208334,-0.7257513020833334,150
random_chicken_150,game,GAME,25,-1.4403873697916667,-1.921875,3.6156562185692156,0.29521709402718355,-2.017927815755208,-0.8596339518229167,150
random_chicken_150,game,GAME,26,-1.4672135416666667,-1.828125,3.5566570162617066,0.2903998293310291,-2.034123697916667,-0.8985000000000003,150
random_chicken_150,game,GAME,27,-1.79984375,-1.921875,3.8341239367556965,0.31305490852141793,-2.40938671875,-1.1836289062500003,150
random_chicken_150,game,GAME,28,-0.5825,-0.59375,2.1498414761286986,0.1755338214795698,-0.9308333333333333,-0.24333333333333335,150
random_chicken_150,game,GAME,29,-0.48125,-0.6875,2.7341170180313408,0.22323971970788997,-0.9175104166666667,-0.04748958333333349,150
random_chicken_150,game,GAME,30,-0.38958333333333334,-0.625,2.9082860882651946,0.23746056474282023,-0.8541770833333333,0.07291666666666667,150
random_chicken_150,game,GAME,31,-1.3758333333333332,-1.6875,4.092330378287649,0.3341373761898533,-2.0341875,-0.7158125000000003,150
random_chicken_150,game,GAME,32,-0.315,-0.375,0.9848602258338645,0.08041350070850585,-0.4741875,-0.1575,150
random_chicken_150,ut,UT,0,-0.63,-1.3125,1.1552722375929494,0.09432758320353668,-0.805,-0.4375,150
random_chicken_150,ut,UT,1,-0.2465625,-0.5,0.4525727440578035,0.03695240981442754,-0.31635416666666666,-0.17072916666666665,150
random_chicken_150,ut,UT,2,-0.11572916666666666,-0.21875,0.2059814376251243,0.016818313955549166,-0.14833593750000001,-0.0814557291666667,150
random_chicken_150,ut,UT,3,-0.184375,-0.328125,0.3337961691666571,0.027254343085134837,-0.23645833333333333,-0.13030989583333336,150
random_chicken_150,ut,UT,4,0.18947916666666667,0.34375,0.37819916431610684,0.030879832457382447,0.12697916666666667,0.24822916666666667,150
random_chicken_150,ut,UT,5,0.048854166666666664,0.0625,0.15637889677805752,0.012768283454853376,0.023229166666666665,0.07395833333333333,150
random_chicken_150,ut,UT,6,-0.28802083333333334,-0.5390625,0.5341088956174168,0.04360980871147045,-0.371875,-0.20145833333333332,150
random_chicken_150,ut,UT,7,-0.3003125,-0.5625,0.5383773823249609,0.043958329191714975,-0.38416666666666666,-0.21124609375000006,150
random_chicken_150,ut,UT,8,-0.8364583333333333,-1.6875,1.5327728505691018,0.1251503791828516,-1.0753658854166668,-0.580361328125,150
random_chicken_150,ut,UT,9,-1.1774609375,-2.375,2.1663451674503333,0.17688134223324994,-1.5142861328125,-0.8125618489583334,150
random_chicken_150,ut,UT,10,-1.2051542154947916,-2.39569091796875,2.1680953271576966,0.1770242421749639,-1.5423317260742189,-0.8407202860514323,150
random_chicken_150,ut,UT,11,-1.2978385416666667,-2.611328125,2.3494213549017338,0.19182945034358512,-1.6646920572916668,-0.9055377604166668,150
random_chicken_150,ut,UT,12,-1.054765625,-2.1171875,1.9182982143360203,0.1566283933205123,-1.3545579427083332,-0.7339837239583333,150
random_chicken_150,ut,UT,13,-1.0518001302083333,-2.103515625,1.9001837937760224,0.15514935707523975,-1.3488951009114583,-0.7338215332031249,150
random_chicken_150,ut,UT,14,-0.9057291666666667,-1.80078125,1.632608724476367,0.13330194415277297,-1.1610947265625,-0.6334163411458335,150
random_chicken_150,ut,UT,15,-0.9662587483723958,-1.89404296875,1.7262397790511965,0.14094688774567352,-1.2357652180989582,-0.6792581227620442,150
random_chicken_150,ut,UT,16,-0.8182524617513021,-1.63092041015625,1.5063088587116182,0.12298960329591814,-1.0531326828002932,-0.5682422841389975,150
random_chicken_150,ut,UT,17,-0.335689697265625,-0.576171875,0.6179528429678446,0.05045563834578131,-0.43243446858723955,-0.23430318196614586,150
random_chicken_150,ut,UT,18,-0.22986572265625,-0.33203125,0.5130345828510818,0.04188909827955905,-0.3102324307759603,-0.1460116767883301,150
random_chicken_150,ut,UT,19,0.20421875,0.36328125,0.5570933864903042,0.04548648453267816,0.11312239583333333,0.29257845052083337,150
random_chicken_150,ut,UT,20,-0.41388702392578125,-0.5419921875,0.7665394855478369,0.06258768690959068,-0.5335719884236653,-0.2912446441650391,150
random_chicken_150,ut,UT,21,-1.5566143798828125,-1.658203125,2.6403092361773504,0.21558034639307025,-1.9756162719726562,-1.1263370920817057,150
random_chicken_150,ut,UT,22,-1.2403255208333333,-1.30859375,2.445521678418887,0.19967600890136553,-1.6266565755208333,-0.8435738932291668,150
random_chicken_150,ut,UT,23,-1.338651123046875,-1.390625,2.5186294689004254,0.2056452349981012,-1.738296885172526,-0.9346493123372396,150
random_chicken_150,ut,UT,24,-1.8748958333333334,-3.078125,4.639411204143684,0.37880633857011026,-2.608209635416667,-1.1221302083333333,150
random_chicken_150,ut,UT,25,-1.764762471516927,-2.328125,3.626896791544447,0.29613488296737805,-2.336341138203939,-1.1858833847045898,150
random_chicken_150,ut,UT,26,-1.7954947916666666,-2.1875,3.578084391090918,0.2921493671596599,-2.3629986979166664,-1.2196250000000006,150
random_chicken_150,ut,UT,27,-2.14078125,-2.390625,3.8590820939019044,0.3150927335190315,-2.7522513020833337,-1.5185911458333334,150
random_chicken_150,ut,UT,28,-0.7954166666666667,-0.78125,2.1806748350676997,0.17805135469479097,-1.1487604166666665,-0.44958333333333333,150
random_chicken_150,ut,UT,29,-0.74625,-1.0625,2.732078481921015,0.2230732739314721,-1.1816770833333332,-0.3120833333333333,150
random_chicken_150,ut,UT,30,-0.6625,-1.0,2.9164109827207527,0.2381239595971564,-1.12709375,-0.19664583333333363,150
random_chicken_150,ut,UT,31,-1.7766666666666666,-2.375,4.123908912713512,0.3367157527287959,-2.442520833333333,-1.115,150
random_chicken_150,ut,UT,32,-0.41083333333333333,-0.4375,0.9942511627955775,0.08118026750060049,-0.5716666666666667,-0.25166666666666665,150
