subset_name,layer,n,base_mean_safe_margin,ut_mean_safe_margin,game_mean_safe_margin,ut_minus_base,game_minus_base,game_minus_ut
random_chicken_150,0,150,-0.63,-0.63,-0.63,0.0,0.0,0.0
random_chicken_150,1,150,-0.2464583333333333,-0.2465625,-0.2465625,-0.00010416666666668295,-0.00010416666666668295,0.0
random_chicken_150,2,150,-0.1164583333333333,-0.1157291666666666,-0.1166666666666666,0.0007291666666666974,-0.0002083333333332965,-0.0009374999999999939
random_chicken_150,3,150,-0.1829166666666666,-0.184375,-0.1832291666666666,-0.0014583333333334225,-0.0003125000000000211,0.0011458333333334014
random_chicken_150,4,150,0.1898958333333333,0.1894791666666666,0.1895833333333333,-0.00041666666666670404,-0.00031249999999999334,0.0001041666666667107
random_chicken_150,5,150,0.05,0.0488541666666666,0.0479166666666666,-0.0011458333333334014,-0.0020833333333334023,-0.0009375000000000008
random_chicken_150,6,150,-0.2866666666666667,-0.2880208333333333,-0.2865625,-0.0013541666666666008,0.00010416666666668295,0.0014583333333332837
random_chicken_150,7,150,-0.3013020833333333,-0.3003125,-0.29984375,0.0009895833333333215,0.0014583333333332837,0.00046874999999996225
random_chicken_150,8,150,-0.8348177083333334,-0.8364583333333333,-0.8354427083333333,-0.0016406249999999512,-0.0006249999999999867,0.0010156249999999645
random_chicken_150,9,150,-1.1765625,-1.1774609375,-1.178203125,-0.0008984375000000711,-0.0016406250000000622,-0.0007421874999999911
random_chicken_150,10,150,-1.2055303446451824,-1.2051542154947916,-1.2077863057454428,0.0003761291503907582,-0.002255961100260384,-0.0026320902506511423
random_chicken_150,11,150,-1.2977083333333332,-1.297838541666667,-1.2999739583333334,-0.000130208333333659,-0.00226562500000016,-0.002135416666666501
random_chicken_150,12,150,-1.0515755208333333,-1.054765625,-1.0504427083333334,-0.003190104166666652,0.0011328124999998579,0.00432291666666651
random_chicken_150,13,150,-1.0514127604166668,-1.0518001302083333,-1.0502408854166667,-0.0003873697916665364,0.0011718750000000444,0.0015592447916665808
random_chicken_150,14,150,-0.9054296875,-0.9057291666666668,-0.903984375,-0.0002994791666668384,0.0014453125000000178,0.0017447916666668561
random_chicken_150,15,150,-0.9642596435546876,-0.9662587483723958,-0.9633884684244792,-0.0019991048177081527,0.0008711751302084014,0.002870279947916554
random_chicken_150,16,150,-0.8213730843861898,-0.8182524617513021,-0.8202816263834636,0.003120622634887771,0.0010914580027262533,-0.0020291646321615175
random_chicken_150,17,150,-0.3365580240885417,-0.335689697265625,-0.3352237955729166,0.0008683268229167096,0.001334228515625091,0.00046590169270838144
random_chicken_150,18,150,-0.23134765625,-0.22986572265625,-0.2306849670410156,0.0014819335937500122,0.0006626892089844072,-0.000819244384765605
random_chicken_150,19,150,0.2028971354166666,0.20421875,0.2054036458333333,0.001321614583333408,0.0025065104166666907,0.0011848958333332826
random_chicken_150,20,150,-0.385533955891927,-0.4138870239257812,-0.3591504923502604,-0.02835306803385418,0.026383463541666596,0.054736531575520775
random_chicken_150,21,150,-1.4427054850260417,-1.5566143798828125,-1.346509602864583,-0.1139088948567708,0.09619588216145858,0.21010477701822938
random_chicken_150,22,150,-1.12311279296875,-1.2403255208333333,-1.0310994466145833,-0.11721272786458314,0.0920133463541668,0.20922607421874995
random_chicken_150,23,150,-1.2194156901041666,-1.338651123046875,-1.1251171875,-0.11923543294270833,0.09429850260416672,0.21353393554687505
random_chicken_150,24,150,-1.6460026041666669,-1.8748958333333332,-1.4613020833333332,-0.22889322916666632,0.18470052083333366,0.41359375
random_chicken_150,25,150,-1.5801839192708331,-1.764762471516927,-1.4403873697916667,-0.18457855224609387,0.13979654947916642,0.3243751017252603
random_chicken_150,26,150,-1.6127083333333334,-1.7954947916666666,-1.4672135416666667,-0.18278645833333318,0.14549479166666668,0.32828124999999986
random_chicken_150,27,150,-1.9493229166666663,-2.14078125,-1.79984375,-0.1914583333333335,0.14947916666666639,0.3409374999999999
random_chicken_150,28,150,-0.6789583333333333,-0.7954166666666667,-0.5825,-0.11645833333333333,0.09645833333333331,0.21291666666666664
random_chicken_150,29,150,-0.60375,-0.74625,-0.48125,-0.14249999999999996,0.1225,0.26499999999999996
random_chicken_150,30,150,-0.5208333333333334,-0.6625,-0.3895833333333333,-0.1416666666666666,0.1312500000000001,0.2729166666666667
random_chicken_150,31,150,-1.5591666666666666,-1.7766666666666666,-1.3758333333333332,-0.21750000000000003,0.18333333333333335,0.4008333333333334
random_chicken_150,32,150,-0.3608333333333333,-0.4108333333333333,-0.315,-0.04999999999999999,0.04583333333333328,0.09583333333333327
