adapter_name,patch_direction,subset_name,subset_label,layer,layer_site,is_null_control,is_mismatched_control,n,n_denominator_ok,mean_m_base,mean_m_adapter,mean_m_patched,mean_delta_adapter,mean_raw_patch_effect,mean_recovered_or_removed_fraction,median_recovered_or_removed_fraction,mean_source_recovery_error,mean_base_recovery_error,expected_direction_recovered_rate,raw_patch_effect_ci_low,raw_patch_effect_ci_high,fraction_ci_low,fraction_ci_high
GAME,Base_to_A,random_chicken_150,Random Chicken,20,block_19_output,False,False,20,12,-0.775,-0.71875,-0.7875,0.05625,0.06875,0.9583258333926662,0.9999920000639995,-0.06875,-0.0125,0.75,0.025,0.11875,0.5416625000326665,1.374989166752666
GAME,Base_to_A,random_chicken_150,Random Chicken,21,block_20_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.05625,0.6249951667046663,0.7499950000359997,-0.05625,0.0,0.5833333333333334,0.025,0.0875,0.2916645000166665,0.9999920000639994
GAME,Base_to_A,random_chicken_150,Random Chicken,31,block_30_output,False,False,20,12,-0.775,-0.71875,-0.76875,0.05625,0.05,0.666661666705333,0.9999920000639995,-0.05,0.00625,0.6666666666666666,0.0125,0.0875,0.4166633333599998,0.9166596667213329
GAME,Base_to_A,random_chicken_150,Random Chicken,32,block_31_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.05625,0.9999923333933328,0.9999920000639995,-0.05625,0.0,1.0,0.0125,0.09375,0.9999920000639994,0.9999930000519996
GAME,Base_to_A,random_chicken_150,Random Chicken,33,final_norm_output,False,False,20,12,-0.775,-0.71875,-0.775,0.05625,0.05625,0.9999923333933328,0.9999920000639995,-0.05625,0.0,1.0,0.0125,0.09375,0.9999920000639994,0.9999930000519996
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,False,False,20,5,0.08125,0.05,0.05,-0.03125,0.0,0.0,0.0,0.0,-0.03125,0.0,0.0,0.0,0.0,0.0
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.7999936000511996,0.9999920000639995,0.03125,0.0,0.8,-0.0625,0.0,0.3999968000255998,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.5999952000383997,0.9999920000639995,0.03125,0.0,0.6,-0.0625,0.0,0.1999984000127999,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,False,False,20,5,0.08125,0.05,0.0875,-0.03125,-0.0375,0.9999920000639995,0.9999920000639995,0.0375,0.00625,1.0,-0.06875,-0.00625,0.9999920000639995,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.03125,0.0,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,Base_to_A,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,False,False,20,5,0.08125,0.05,0.08125,-0.03125,-0.03125,0.9999920000639995,0.9999920000639995,0.03125,0.0,1.0,-0.05625,-0.00625,0.9999920000639995,0.9999920000639995
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,0,embedding_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,20,block_19_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,21,block_20_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,31,block_30_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,32,block_31_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_chicken_150,Random Chicken,33,final_norm_output,True,False,20,0,-0.775,-0.71875,-0.71875,0.05625,0.0,,,0.0,0.05625,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,32,block_31_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
GAME,GAME_to_GAME,random_pd_150,Random Prisoner's Dilemma,33,final_norm_output,True,False,20,0,0.08125,0.05,0.05,-0.03125,0.0,,,0.0,-0.03125,,0.0,0.0,,
