subset_name,pair,model_a,model_b,layer,mean_cosine_similarity,mean_cosine_drift,median_cosine_drift,std_cosine_drift,sem_cosine_drift,ci_low,ci_high,n
random_pd_150,Base–UT,base,ut,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
random_pd_150,Base–UT,base,ut,1,1.0,-1.0728836485895954e-08,0.0,1.0876497924527939e-07,8.88062336784457e-09,-2.8212865193684896e-08,6.7551930745442705e-09,150
random_pd_150,Base–UT,base,ut,2,0.9999995827674866,4.6292942101899826e-07,4.172325134277344e-07,2.424268927825324e-07,1.979407290818701e-08,4.291534423828125e-07,5.054473876953125e-07,150
random_pd_150,Base–UT,base,ut,3,0.9999969601631165,3.1554698125546565e-06,2.5033950805664062e-06,1.8134978745365515e-06,1.4807148140787927e-07,2.885649601618449e-06,3.468215465545654e-06,150
random_pd_150,Base–UT,base,ut,4,0.9999945163726807,5.464156402013032e-06,4.202127456665039e-06,2.906116833401029e-06,2.3728344582484502e-07,5.018711090087891e-06,5.937427282333373e-06,150
random_pd_150,Base–UT,base,ut,5,0.9999880194664001,1.2128750313422643e-05,9.357929229736328e-06,6.3014495026436634e-06,5.145111973797271e-07,1.1163542668024698e-05,1.3174225886662802e-05,150
random_pd_150,Base–UT,base,ut,6,0.9999837279319763,1.6353924365830608e-05,1.3530254364013672e-05,7.150105375330895e-06,5.838036592230631e-07,1.5247235695521038e-05,1.7540872097015383e-05,150
random_pd_150,Base–UT,base,ut,7,0.9999750852584839,2.4948914870037697e-05,2.1845102310180664e-05,1.0876491614908446e-05,8.880618216061827e-07,2.3272812366485594e-05,2.6788334051767986e-05,150
random_pd_150,Base–UT,base,ut,8,0.9999654293060303,3.454089164733887e-05,3.084540367126465e-05,1.3646264051203616e-05,1.1142127940244692e-06,3.243324160575867e-05,3.6843220392862956e-05,150
random_pd_150,Base–UT,base,ut,9,0.9999544024467468,4.561583045870066e-05,4.32133674621582e-05,1.4069899407331832e-05,1.148802476008348e-06,4.343067606290182e-05,4.798333843549093e-05,150
random_pd_150,Base–UT,base,ut,10,0.9999568462371826,4.3060779717052355e-05,4.032254219055176e-05,1.2589069228852168e-05,1.027893198242024e-06,4.111011823018392e-05,4.5182347297668457e-05,150
random_pd_150,Base–UT,base,ut,11,0.9999497532844543,5.036433503846638e-05,4.735589027404785e-05,1.7212974853464402e-05,1.405433511544861e-06,4.774172107378642e-05,5.327352881431579e-05,150
random_pd_150,Base–UT,base,ut,12,0.9999468922615051,5.321701246430166e-05,4.9233436584472656e-05,1.9549446733435616e-05,1.5962056416878883e-06,5.035955707232157e-05,5.65695861975352e-05,150
random_pd_150,Base–UT,base,ut,13,0.9999344944953918,6.555358413606882e-05,6.0558319091796875e-05,2.2621548851020634e-05,1.8470417292147878e-06,6.220102310180664e-05,6.94594383239746e-05,150
random_pd_150,Base–UT,base,ut,14,0.9999238848686218,7.596889918204397e-05,6.845593452453613e-05,2.813518040056806e-05,2.297227860084859e-06,7.181598742802937e-05,8.075306812922159e-05,150
random_pd_150,Base–UT,base,ut,15,0.9999176859855652,8.229096420109272e-05,7.352232933044434e-05,3.110870238742791e-05,2.540014913643308e-06,7.762432098388671e-05,8.754900097846984e-05,150
random_pd_150,Base–UT,base,ut,16,0.9998989105224609,0.00010116020712302998,8.890032768249512e-05,3.935385393560864e-05,3.213228718475359e-06,9.511178731918335e-05,0.00010768414537111919,150
random_pd_150,Base–UT,base,ut,17,0.9998667240142822,0.00013328831118997186,0.00011849403381347656,4.9609760026214644e-05,4.050619944204924e-06,0.00012563939889272054,0.0001414058009783427,150
random_pd_150,Base–UT,base,ut,18,0.9998394846916199,0.00016049901023507118,0.00014835596084594727,5.410539233707823e-05,4.4176867852977565e-06,0.00015221330523490905,0.0001694053014119466,150
random_pd_150,Base–UT,base,ut,19,0.9997901320457458,0.00020983139984309673,0.00019302964210510254,7.086321420501918e-05,5.785957211194723e-06,0.0001991687019666036,0.00022171907623608908,150
random_pd_150,Base–UT,base,ut,20,0.9997865557670593,0.00021339734666980803,0.00018996000289916992,9.009252244140953e-05,7.356023654056531e-06,0.00019982661803563437,0.00022843777139981586,150
random_pd_150,Base–UT,base,ut,21,0.9997594952583313,0.00024057189875748008,0.00021263957023620605,0.0001157270889962092,9.449077248612348e-06,0.00022301592429478962,0.0002599303921063741,150
random_pd_150,Base–UT,base,ut,22,0.9997754693031311,0.00022453308338299394,0.00019878149032592773,0.00011775091843446717,9.614322230284198e-06,0.0002068894108136495,0.0002444459497928619,150
random_pd_150,Base–UT,base,ut,23,0.999739408493042,0.0002607261994853616,0.00022283196449279785,0.0001498463680036366,1.223490471394071e-05,0.00023848596215248106,0.0002860878805319468,150
random_pd_150,Base–UT,base,ut,24,0.9997535943984985,0.0002463813580106944,0.00019747018814086914,0.00018753665790427476,1.5312303997745297e-05,0.00021834173798561095,0.00027857308586438494,150
random_pd_150,Base–UT,base,ut,25,0.9997775554656982,0.00022248744789976627,0.0001843273639678955,0.00015351262118201703,1.2534253032437013e-05,0.00019972142577171328,0.0002487823963165283,150
random_pd_150,Base–UT,base,ut,26,0.999795138835907,0.00020493665942922235,0.00017026066780090332,0.0001414237340213731,1.1547199529048326e-05,0.00018391663829485575,0.00022902652621269227,150
random_pd_150,Base–UT,base,ut,27,0.9998344779014587,0.00016550302098039538,0.0001399219036102295,0.00011361215001670644,9.27639320404887e-06,0.00014843015869458516,0.00018471787373224895,150
random_pd_150,Base–UT,base,ut,28,0.999823808670044,0.0001762191386660561,0.00014674663543701172,0.00011893732153112069,9.711191637486166e-06,0.00015858232975006104,0.00019666603207588195,150
random_pd_150,Base–UT,base,ut,29,0.9998552203178406,0.000144739547977224,0.00012120604515075684,9.581384802004322e-05,7.823167931389407e-06,0.00013049879670143128,0.0001611817975838979,150
random_pd_150,Base–UT,base,ut,30,0.9998593330383301,0.00014065940922591835,0.00012069940567016602,8.771842112764716e-05,7.1621790935102316e-06,0.00012758817275365195,0.00015576385458310446,150
random_pd_150,Base–UT,base,ut,31,0.9998620748519897,0.00013784290058538318,0.00012299418449401855,7.831242692191154e-05,6.394182882589317e-06,0.00012622949481010438,0.00015127123395601908,150
random_pd_150,Base–UT,base,ut,32,0.9998707175254822,0.0001292975794058293,0.00011962652206420898,5.713995415135287e-05,4.665457719894664e-06,0.00012070654829343159,0.00013898858428001404,150
random_pd_150,Base–GAME,base,game,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
random_pd_150,Base–GAME,base,game,1,1.0,-1.19209286886246e-09,0.0,1.1145019129799039e-07,9.099870013855016e-09,-1.9073486328125e-08,1.629193623860677e-08,150
random_pd_150,Base–GAME,base,game,2,0.9999995827674866,4.275639753359428e-07,4.172325134277344e-07,2.511541197236511e-07,2.0506648004027387e-08,3.9299329121907554e-07,4.7246615091959636e-07,150
random_pd_150,Base–GAME,base,game,3,0.9999969601631165,3.143946287309518e-06,2.4437904357910156e-06,2.1243718038022052e-06,1.7345423144237667e-07,2.8288265069325766e-06,3.5099188486735024e-06,150
random_pd_150,Base–GAME,base,game,4,0.9999946355819702,5.432764737633988e-06,3.993511199951172e-06,3.6859030387859093e-06,3.009527228799811e-07,4.907836516698201e-06,6.080081065495808e-06,150
random_pd_150,Base–GAME,base,game,5,0.9999883770942688,1.1657079085125588e-05,9.119510650634766e-06,6.839172783656977e-06,5.584161194229881e-07,1.0656505823135375e-05,1.280905803044637e-05,150
random_pd_150,Base–GAME,base,game,6,0.9999842047691345,1.5709798390162177e-05,1.3023614883422852e-05,7.275701591424877e-06,5.940585473248827e-07,1.4611472686131794e-05,1.6924550135930377e-05,150
random_pd_150,Base–GAME,base,game,7,0.9999755024909973,2.4491151634720154e-05,2.086162567138672e-05,1.1168476703460328e-05,9.119023042546319e-07,2.2774904966354372e-05,2.634286880493164e-05,150
random_pd_150,Base–GAME,base,game,8,0.9999670386314392,3.2883086532820016e-05,2.810359001159668e-05,1.4831212865829002e-05,1.2109634595960681e-06,3.062916795412699e-05,3.539407253265381e-05,150
random_pd_150,Base–GAME,base,game,9,0.999956488609314,4.35686124546919e-05,3.9130449295043945e-05,1.5229970813379623e-05,1.243521909675352e-06,4.119909803072612e-05,4.6114136775334676e-05,150
random_pd_150,Base–GAME,base,game,10,0.9999592900276184,4.074096796102822e-05,3.769993782043457e-05,1.3108465282130055e-05,1.070301708406899e-06,3.873823086420695e-05,4.291275143623352e-05,150
random_pd_150,Base–GAME,base,game,11,0.999951958656311,4.7968627768568695e-05,4.416704177856445e-05,1.768072252161801e-05,1.4436249487232947e-06,4.529589414596558e-05,5.096453428268432e-05,150
random_pd_150,Base–GAME,base,game,12,0.9999485015869141,5.14483435836155e-05,4.5925378799438477e-05,1.938564673764631e-05,1.582831428036094e-06,4.851176341374715e-05,5.475642283757527e-05,150
random_pd_150,Base–GAME,base,game,13,0.9999366402626038,6.341139669530094e-05,5.728006362915039e-05,2.470205072313547e-05,2.0169139957343375e-06,5.970702568689982e-05,6.757120291392009e-05,150
random_pd_150,Base–GAME,base,game,14,0.9999266266822815,7.333914254559204e-05,6.452202796936035e-05,3.127682794001885e-05,2.553742307529016e-06,6.864620248476664e-05,7.861021161079407e-05,150
random_pd_150,Base–GAME,base,game,15,0.9999216794967651,7.826328510418534e-05,7.05718994140625e-05,3.320191171951592e-05,2.7109247399248946e-06,7.331171631813049e-05,8.377676208813985e-05,150
random_pd_150,Base–GAME,base,game,16,0.9999058246612549,9.429136844119057e-05,8.323788642883301e-05,3.871570879709907e-05,3.1611243861024874e-06,8.846461772918701e-05,0.0001007048487663269,150
random_pd_150,Base–GAME,base,game,17,0.999876081943512,0.000123897785670124,0.00011014938354492188,4.7671252104919404e-05,3.892341435221035e-06,0.00011676359176635743,0.0001317565143108368,150
random_pd_150,Base–GAME,base,game,18,0.9998522996902466,0.00014768083929084241,0.00013142824172973633,5.27493393747136e-05,4.3069655245649925e-06,0.0001396992007891337,0.00015653972824414573,150
random_pd_150,Base–GAME,base,game,19,0.9998096823692322,0.00019038200844079256,0.00016936659812927246,6.608857802348211e-05,5.39610979945484e-06,0.000180344025293986,0.00020154979825019837,150
random_pd_150,Base–GAME,base,game,20,0.9998276829719543,0.00017243543697986752,0.0001609325408935547,5.528863039216958e-05,4.514297767938322e-06,0.0001638618508974711,0.00018148152033487953,150
random_pd_150,Base–GAME,base,game,21,0.9998126029968262,0.00018744349654298276,0.0001766681671142578,6.14602176938206e-05,5.018205761007825e-06,0.00017789103587468466,0.0001974233587582906,150
random_pd_150,Base–GAME,base,game,22,0.9998282790184021,0.00017161171126645058,0.000157088041305542,5.863580736331642e-05,4.787593623208464e-06,0.00016253897547721864,0.00018111559748649596,150
random_pd_150,Base–GAME,base,game,23,0.9998052716255188,0.00019470731785986573,0.0001728832721710205,7.251909119077027e-05,5.92115900092499e-06,0.0001833567420641581,0.0002063398857911428,150
random_pd_150,Base–GAME,base,game,24,0.9998276829719543,0.00017242351896129549,0.0001481771469116211,7.472913421224803e-05,6.101608257998967e-06,0.00016103972991307578,0.00018469504515329996,150
random_pd_150,Base–GAME,base,game,25,0.9998394846916199,0.00016058882465586066,0.00014063715934753418,6.321931869024411e-05,5.1618357559164605e-06,0.0001508322755495707,0.00017086575428644816,150
random_pd_150,Base–GAME,base,game,26,0.9998524785041809,0.00014741539780516177,0.0001285076141357422,5.8631670981412753e-05,4.7872558890402886e-06,0.0001383375624815623,0.00015701574087142946,150
random_pd_150,Base–GAME,base,game,27,0.9998812079429626,0.00011877258657477796,0.0001036524772644043,4.668439578381367e-05,3.8117649540160612e-06,0.00011154747009277345,0.00012631421287854512,150
random_pd_150,Base–GAME,base,game,28,0.9998738765716553,0.000126085287774913,0.00011280179023742676,4.6897745050955564e-05,3.82918484873254e-06,0.00011877098679542542,0.00013364054759343465,150
random_pd_150,Base–GAME,base,game,29,0.9998950362205505,0.00010502895020181313,9.432435035705566e-05,3.693366306833923e-05,3.015620961643561e-06,9.925876061121623e-05,0.00011095207929611207,150
random_pd_150,Base–GAME,base,game,30,0.9998969435691833,0.00010307788761565462,9.399652481079102e-05,3.477287100395188e-05,2.8391930283767573e-06,9.760692715644836e-05,0.00010868399341901144,150
random_pd_150,Base–GAME,base,game,31,0.9998974800109863,0.0001025195888360031,9.41157341003418e-05,3.1556483008898795e-05,2.5765760482869747e-06,9.760475158691407e-05,0.00010762463013331095,150
random_pd_150,Base–GAME,base,game,32,0.9998972415924072,0.00010269840277032927,9.781122207641602e-05,2.7102421881863847e-05,2.212903480140262e-06,9.844450155893963e-05,0.00010708493987719218,150
random_pd_150,UT–GAME,ut,game,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
random_pd_150,UT–GAME,ut,game,1,1.0,-1.0728836485895954e-08,0.0,1.074415933999262e-07,8.772569366046668e-09,-2.7815500895182292e-08,6.7551930745442705e-09,150
random_pd_150,UT–GAME,ut,game,2,0.9999995827674866,4.653136045362771e-07,4.76837158203125e-07,1.7452164513542812e-07,1.4249632655095897e-08,4.3710072835286457e-07,4.931290944417318e-07,150
random_pd_150,UT–GAME,ut,game,3,0.999997079372406,3.0144055926939473e-06,2.4437904357910156e-06,1.811736751733406e-06,1.4792768633314303e-07,2.7541319529215493e-06,3.3227602640787762e-06,150
random_pd_150,UT–GAME,ut,game,4,0.999994695186615,5.2444138418650255e-06,3.993511199951172e-06,2.8561014460137812e-06,2.3319970654529868e-07,4.800140857696533e-06,5.7141085465749096e-06,150
random_pd_150,UT–GAME,ut,game,5,0.999987781047821,1.221219736180501e-05,9.268522262573242e-06,6.6966658778255805e-06,5.467804792859956e-07,1.1186192433039348e-05,1.3310541709264119e-05,150
random_pd_150,UT–GAME,ut,game,6,0.9999841451644897,1.5841722415643744e-05,1.3321638107299805e-05,7.029908829281339e-06,5.739896523341848e-07,1.4759252468744914e-05,1.6992539167404173e-05,150
random_pd_150,UT–GAME,ut,game,7,0.9999758005142212,2.4205446607084014e-05,2.1219253540039062e-05,9.002080332720652e-06,7.350167812903139e-07,2.280392249425252e-05,2.5669356187184654e-05,150
random_pd_150,UT–GAME,ut,game,8,0.9999668598175049,3.321210533613339e-05,3.0487775802612305e-05,1.0701677638280671e-05,8.73788320184687e-07,3.153321146965027e-05,3.4920414288838706e-05,150
random_pd_150,UT–GAME,ut,game,9,0.999955415725708,4.457235263544135e-05,4.13358211517334e-05,1.304480065300595e-05,1.0651035132063126e-06,4.250008861223856e-05,4.6691099802652996e-05,150
random_pd_150,UT–GAME,ut,game,10,0.9999578595161438,4.2079685954377055e-05,4.056096076965332e-05,1.1255774552410003e-05,9.190301437736073e-07,4.0309419234593706e-05,4.3934196233749393e-05,150
random_pd_150,UT–GAME,ut,game,11,0.9999504685401917,4.962165985489264e-05,4.684925079345703e-05,1.4569302948075347e-05,1.189578604360376e-06,4.738448063532512e-05,5.202732483545939e-05,150
random_pd_150,UT–GAME,ut,game,12,0.9999461770057678,5.378166679292917e-05,4.8995018005371094e-05,1.7986123566515744e-05,1.4685608396203703e-06,5.100687344868978e-05,5.675754944483439e-05,150
random_pd_150,UT–GAME,ut,game,13,0.9999350905418396,6.493250839412212e-05,6.04093074798584e-05,2.0248420696589164e-05,1.6532766267951257e-06,6.183734536170959e-05,6.83037539323171e-05,150
random_pd_150,UT–GAME,ut,game,14,0.9999243021011353,7.563432154711336e-05,6.988644599914551e-05,2.59976222878322e-05,2.122696971026544e-06,7.168527444203696e-05,7.991674542427063e-05,150
random_pd_150,UT–GAME,ut,game,15,0.9999198317527771,8.007804717635736e-05,7.387995719909668e-05,2.8420552553143352e-05,2.3205283987718303e-06,7.571697235107421e-05,8.478778600692749e-05,150
random_pd_150,UT–GAME,ut,game,16,0.999901533126831,9.849627531366423e-05,8.732080459594727e-05,3.8194426451809704e-05,3.1185618608398122e-06,9.272232651710511e-05,0.00010489507516225178,150
random_pd_150,UT–GAME,ut,game,17,0.9998622536659241,0.00013772447709925473,0.00012305378913879395,5.1294533477630466e-05,4.188181120476806e-06,0.0001299859682718913,0.00014627063274383546,150
random_pd_150,UT–GAME,ut,game,18,0.9998141527175903,0.00018584489589557052,0.0001704394817352295,6.296674109762534e-05,5.1412128818372426e-06,0.00017629138628641764,0.00019660739103953044,150
random_pd_150,UT–GAME,ut,game,19,0.9997487664222717,0.00025116323377005756,0.0002365410327911377,8.401648665312678e-05,6.859917409383794e-06,0.00023844392100969952,0.0002653540372848511,150
random_pd_150,UT–GAME,ut,game,20,0.9996775388717651,0.00032257119892165065,0.0002842247486114502,0.0001609476312296465,1.3141319060742287e-05,0.0002984155317147573,0.0003494912584622701,150
random_pd_150,UT–GAME,ut,game,21,0.9996077418327332,0.00039234996074810624,0.00033485889434814453,0.00022893655113875866,1.8692591125418197e-05,0.00035785533984502156,0.0004302479823430379,150
random_pd_150,UT–GAME,ut,game,22,0.9996173977851868,0.00038255969411693513,0.0003311038017272949,0.00023825722746551037,1.945362116069087e-05,0.0003467014233271281,0.0004218851129213969,150
random_pd_150,UT–GAME,ut,game,23,0.9995452761650085,0.00045474927173927426,0.00038802623748779297,0.0003075351705774665,2.511014152915264e-05,0.0004085974097251892,0.0005056345661481221,150
random_pd_150,UT–GAME,ut,game,24,0.9995568990707397,0.00044313707621768117,0.0003254115581512451,0.0003908797516487539,3.191519807750862e-05,0.00038548231124877933,0.0005083922942479451,150
random_pd_150,UT–GAME,ut,game,25,0.999606728553772,0.0003932686522603035,0.00030538439750671387,0.0003148948890157044,2.571106002329384e-05,0.00034661513566970826,0.0004463810622692108,150
random_pd_150,UT–GAME,ut,game,26,0.9996388554573059,0.000361119513399899,0.0002748072147369385,0.0002965731837321073,2.421509905121159e-05,0.00031696107983589174,0.0004109675288200378,150
random_pd_150,UT–GAME,ut,game,27,0.999707818031311,0.00029228010680526495,0.0002288222312927246,0.000232932812650688,1.901888451151653e-05,0.0002574532628059387,0.00033123323321342465,150
random_pd_150,UT–GAME,ut,game,28,0.9996909499168396,0.0003090755199082196,0.00023758411407470703,0.00024274460156448185,1.982001372160626e-05,0.00027256228526433305,0.0003495728472868601,150
random_pd_150,UT–GAME,ut,game,29,0.9997502565383911,0.00024969418882392347,0.00018975138664245605,0.0001949324068846181,1.59161643733303e-05,0.00022055222590764364,0.00028225414951642356,150
random_pd_150,UT–GAME,ut,game,30,0.9997617602348328,0.00023817221517674625,0.00018489360809326172,0.00017691226094029844,1.4444825618194738e-05,0.00021153565247853596,0.00026761043071746825,150
